Channel Name,Link,Subscribers,Avg Views,Eng Rate (%),Msgs/Day,Admin Username,Score,Reason
Pavel Durov,https://t.me/durov,10284319,2879202,28.0%,0.3,Unknown,SILVER,"Good engagement, worth a pitch"
Binance Killers®,https://t.me/BinanceKillers,312183,17645,5.7%,10.0,Unknown,SILVER,"Good engagement, worth a pitch"
@forex,https://t.me/forex_trading,358,9534,2663.3%,0.0,Unknown,GOLD,Hyper-engaged manual poster
eToro Forex Trading Signals (Free,https://t.me/eToro_Forex_Trading_Signalr,5007,1,0.0%,129.6,Unknown,REJECT,Fake/Bot Farm (Eng: 0.0%)
3DS MAX | PREMIUM 3D MODELS 👨🏻‍💻,https://t.me/textures_mebel_3D,8832,1423,16.1%,2.2,Unknown,SILVER,"Good engagement, worth a pitch"
Usdjpy trading signal,https://t.me/usdjpy_forextrading_cadusd,84556,18,0.0%,18.0,Unknown,REJECT,Fake/Bot Farm (Eng: 0.0%)
Forex Tradings,https://t.me/Forex_Tradings,21109,717,3.4%,2.4,Unknown,SILVER,"Good engagement, worth a pitch"
Senales Trading Quotex Forex,https://t.me/senales_trading_quotex_forex1,207482,96,0.0%,40.3,Unknown,REJECT,Fake/Bot Farm (Eng: 0.0%)
eToro Forex Trading Signals (Free),https://t.me/eToro_Forex_Trading_Signale,5215,8,0.2%,129.6,Unknown,REJECT,Fake/Bot Farm (Eng: 0.2%)
PREMIUM CNC 3D MODELS (CNC ROUTER),https://t.me/cncrouterfiles,5929,25537,430.7%,1558.2,Unknown,REJECT,Already Automated (1558.2 msgs/day)
AI MODELS / EXCLUSIVE PICTURES [ROLEX PREMIUM],https://t.me/VipRolexAImodels,819,182,22.3%,100.0,Unknown,REJECT,Already Automated (100.0 msgs/day)
Goldsignal.io forex trading,https://t.me/goldsignal_eurusd1,17790,10,0.1%,18.0,Unknown,REJECT,Fake/Bot Farm (Eng: 0.1%)
Premium Kyiv Models - Maison De Kyiv 🍓,https://t.me/kyivvipmodels,1210,449,37.2%,34.2,@maisondekyiv,REJECT,Already Automated (34.2 msgs/day)
CRYPTO FX SIGNALS,https://t.me/crypto_signalsc,132155,56,0.0%,97.3,Unknown,REJECT,Fake/Bot Farm (Eng: 0.0%)
Forex Trading Signals(Course),https://t.me/trading_forexb,102767,61,0.1%,97.3,Unknown,REJECT,Fake/Bot Farm (Eng: 0.1%)
"Drive Legends - Масштабные модели автомобилей PremiumX, IST Models, Atlas, Greenlight, IXO, Minichamps, Altaya",https://t.me/drivelegends,1062,78,7.4%,2.6,@thorwald_nord,SILVER,"Good engagement, worth a pitch"
Bangalore Premium Models,https://t.me/bangalore_premium_models,6,69,1165.8%,1.4,Unknown,REJECT,Too small to monetize
zh_cn 中文汉化包 简体中文包 Chinese,https://t.me/zh_cnmek,122044,482,0.4%,1.7,Unknown,REJECT,Fake/Bot Farm (Eng: 0.4%)
Senales Trading Quotex Forex,https://t.me/senales_trading_quotex_forex1,207482,98,0.0%,40.3,Unknown,REJECT,Fake/Bot Farm (Eng: 0.0%)
lesbianasXQ peruanasXV flagrasQX panochaQT,https://t.me/xvideoss_q_casadas_caliente,2098,3146,150.0%,100.0,Unknown,REJECT,Already Automated (100.0 msgs/day)
zwbao 中文翻译包 中文汉化包 Chinese,https://t.me/zwbao8_chinese,111023,563,0.5%,1.1,Unknown,REJECT,Fake/Bot Farm (Eng: 0.5%)
"Drive Legends - Масштабные модели автомобилей PremiumX, IST Models, Atlas, Greenlight, IXO, Minichamps, Altaya",https://t.me/drivelegends,1062,78,7.4%,2.6,@thorwald_nord,SILVER,"Good engagement, worth a pitch"
HAZBIN HOTEL LEAKS,https://t.me/HAZBINHOTELFILTR,332,20672,6226.7%,0.6,Unknown,GOLD,Hyper-engaged manual poster
PREMIUM CNC 3D MODELS (CNC ROUTER),https://t.me/cncrouterfiles,5929,25537,430.7%,1558.2,Unknown,REJECT,Already Automated (1558.2 msgs/day)
